postal,address,block,street_name,max_floor_lvl,year_completed,building_age,town,total_dwelling_units,psm_2018,psm_2019,psm_2020,psm_2021,psm_2022,psm_2023,psm_2024,psm_2025,psm_2026,txn_5y,psm_growth_5y,nearest_station,stn_distance_m
823101,101C PUNGGOL FIELD,101C,PUNGGOL FIELD,17,2001,25,PUNGGOL,86,3874.5,3759.5,3816.5,4082.0,4495.0,5000.0,5357.5,5447.0,,9.0,,COVE,159.0
824101,101D PUNGGOL FIELD,101D,PUNGGOL FIELD,17,2001,25,PUNGGOL,85,3949.0,4089.0,4136.0,,4455.0,5384.5,5036.0,5823.0,6333.0,11.0,42.199999999999996,COVE,101.0
380102,102 ALJUNIED CRES,102,ALJUNIED CRES,12,1977,49,GEYLANG,150,4388.0,4851.0,4254.0,4060.0,4448.0,4610.0,5224.0,6067.5,6522.0,12.0,46.6,ALJUNIED,449.0
560102,102 ANG MO KIO AVE 3,102,ANG MO KIO AVE 3,12,1977,49,ANG MO KIO,88,5102.0,4665.5,3921.0,5024.0,5472.0,6142.0,5804.0,6360.5,6587.0,9.0,20.4,MAYFLOWER,335.0
460102,102 BEDOK NTH AVE 4,102,BEDOK NTH AVE 4,14,1976,50,BEDOK,149,4122.0,4049.0,4075.0,4403.0,4481.0,5448.0,5806.0,5495.0,5880.5,18.0,31.2,BEDOK RESERVOIR,649.0
470102,102 BEDOK RESERVOIR RD,102,BEDOK RESERVOIR RD,4,1985,41,BEDOK,24,,3955.5,4042.0,4403.0,4810.0,5075.0,,,,3.0,,KAKI BUKIT,726.0
570102,102 BISHAN ST 12,102,BISHAN ST 12,25,1986,40,BISHAN,92,,6033.0,5892.5,5950.0,7137.0,6603.0,7851.0,7438.0,7731.0,11.0,8.3,BRADDELL,539.0
650102,102 BT BATOK WEST AVE 6,102,BT BATOK WEST AVE 6,13,1984,42,BUKIT BATOK,96,3918.0,3955.0,3333.0,4030.0,4330.5,4856.0,4829.5,5500.0,5333.0,11.0,23.1,BUKIT BATOK,287.0
90102,102 BT PURMEI RD,102,BT PURMEI RD,10,1983,43,BUKIT MERAH,147,4870.0,4663.0,,5325.0,5479.0,5769.0,6457.0,6972.5,7068.0,11.0,28.999999999999996,HARBOURFRONT INTERCHANGE,924.0
140102,102 C'WEALTH CRES,102,C'WEALTH CRES,10,1964,62,QUEENSTOWN,95,5091.0,4727.0,4091.0,4717.0,4772.5,7091.0,5570.5,6395.0,,8.0,,COMMONWEALTH,652.0
670102,102 GANGSA RD,102,GANGSA RD,10,1986,40,BUKIT PANJANG,90,3836.0,3973.0,,4178.0,4192.0,,5064.5,,5437.0,11.0,29.7,PETIR,224.0
150102,102 HENDERSON CRES,102,HENDERSON CRES,14,1967,59,BUKIT MERAH,140,6100.0,5125.0,5375.0,5250.0,5500.0,5844.0,5675.0,5875.0,6237.5,13.0,13.4,REDHILL,542.0
530102,102 HOUGANG AVE 1,102,HOUGANG AVE 1,13,1983,43,HOUGANG,90,,3887.5,3767.0,,4516.0,5325.0,4667.0,,5886.5,8.0,30.3,KOVAN,866.0
321102,102 JLN RAJAH,102,JLN RAJAH,12,1980,46,KALLANG/WHAMPOA,198,4776.5,4723.5,4745.0,4809.0,4979.0,5319.0,5702.0,6043.0,,14.0,,TOA PAYOH,674.0
320102,102 JLN DUSUN,102,JLN DUSUN,25,1981,45,KALLANG/WHAMPOA,96,5127.0,,4873.0,4763.0,5550.5,6046.5,6695.0,6610.0,7118.5,10.0,28.199999999999996,TOA PAYOH,644.0
600102,102 JURONG EAST ST 13,102,JURONG EAST ST 13,12,1981,45,JURONG EAST,196,4375.0,5095.5,4706.0,4787.0,5257.5,5522.0,5662.0,6398.5,6515.0,16.0,23.9,JURONG EAST INTERCHANGE,539.0
410102,102 LENGKONG TIGA,102,LENGKONG TIGA,14,1988,38,BEDOK,73,6929.0,6231.0,6466.5,6047.0,6010.0,6400.0,6969.5,,7597.0,7.0,26.400000000000002,KEMBANGAN,566.0
510102,102 PASIR RIS ST 12,102,PASIR RIS ST 12,13,1988,38,PASIR RIS,96,,3689.0,3654.0,3836.0,4121.0,4942.5,5321.5,5630.5,5905.0,14.0,43.3,PASIR RIS INTERCHANGE,1103.0
350102,102 POTONG PASIR AVE 1,102,POTONG PASIR AVE 1,16,1983,43,TOA PAYOH,167,5405.0,5574.5,5108.0,5236.5,6216.0,6723.0,6939.5,8514.0,8581.0,9.0,38.0,POTONG PASIR,258.0
