latitude,longitude,postal,address,block,street_name,max_floor_lvl,year_completed,town,total_dwelling_units,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,smallunit_sold
1.33107747701121,103.856607585662,310245,245 KIM KEAT LINK,245,KIM KEAT LINK,4,1988,TOA PAYOH,20,0,14,6,0,0,0
1.37110012229173,103.96304680441,510245,245 PASIR RIS ST 21,245,PASIR RIS ST 21,13,1992,PASIR RIS,46,0,0,0,46,0,0
1.35244085702094,103.869177479529,550245,245 SERANGOON AVE 2,245,SERANGOON AVE 2,13,1985,SERANGOON,96,48,48,0,0,0,0
1.34436497527246,103.954261819807,520245,245 SIMEI ST 5,245,SIMEI ST 5,11,1995,TAMPINES,98,0,40,58,0,0,0
1.35320840937901,103.946489840363,521245,245 TAMPINES ST 21,245,TAMPINES ST 21,11,1983,TAMPINES,95,0,0,0,95,0,0
1.43454219874646,103.842114172195,760245,245 YISHUN AVE 9,245,YISHUN AVE 9,12,1984,YISHUN,88,0,88,0,0,0,0
1.38137152811663,103.773245009924,670246,246 BANGKIT RD,246,BANGKIT RD,13,1987,BUKIT PANJANG,120,0,78,42,0,0,0
1.36067416170778,103.843353629778,570246,246 BISHAN ST 22,246,BISHAN ST 22,11,1990,BISHAN,80,0,70,10,0,0,0
1.34964706301784,103.757617809641,650246,246 BT BATOK EAST AVE 5,246,BT BATOK EAST AVE 5,4,1984,BUKIT BATOK,16,8,8,0,0,0,0
1.39254395356624,103.899041774365,540246,246 COMPASSVALE RD,246,COMPASSVALE RD,15,1998,SENGKANG,84,0,0,84,0,0,0
1.35876258437852,103.891460074318,530246,246 HOUGANG ST 22,246,HOUGANG ST 22,4,1983,HOUGANG,19,14,5,0,0,0,0
1.34177658836855,103.740057253589,600246,246 JURONG EAST ST 24,246,JURONG EAST ST 24,12,1982,JURONG EAST,88,0,12,76,0,0,0
1.33078082665669,103.855844268285,310246,246 KIM KEAT LINK,246,KIM KEAT LINK,9,1988,TOA PAYOH,96,0,68,28,0,0,0
1.37110870483675,103.962453963376,510246,246 PASIR RIS ST 21,246,PASIR RIS ST 21,13,1992,PASIR RIS,44,0,0,0,44,0,0
1.35192270531399,103.869660835834,550246,246 SERANGOON AVE 3,246,SERANGOON AVE 3,12,1985,SERANGOON,88,0,66,22,0,0,0
1.34505922260533,103.954165735566,520246,246 SIMEI ST 5,246,SIMEI ST 5,11,1995,TAMPINES,92,0,54,38,0,0,0
1.35322549774418,103.947232182338,521246,246 TAMPINES ST 21,246,TAMPINES ST 21,11,1983,TAMPINES,137,114,20,1,2,0,0
1.43509085774181,103.84269104902,760246,246 YISHUN AVE 9,246,YISHUN AVE 9,11,1984,YISHUN,100,0,100,0,0,0,0
1.3683306960704,103.834225084467,561246,246A ANG MO KIO ST 21,246A,ANG MO KIO ST 21,29,2025,ANG MO KIO,140,0,84,56,0,0,0
1.36762651708062,103.833861303205,562246,246B ANG MO KIO ST 21,246B,ANG MO KIO ST 21,29,2025,ANG MO KIO,240,0,156,84,0,0,0
1.36108263852717,103.843138950412,570247,247 BISHAN ST 22,247,BISHAN ST 22,4,1990,BISHAN,10,0,0,0,10,0,0
1.34992721242157,103.75698028632,650247,247 BT BATOK EAST AVE 5,247,BT BATOK EAST AVE 5,12,1984,BUKIT BATOK,110,65,44,0,0,0,0
1.3920922979789,103.899249247556,540247,247 COMPASSVALE RD,247,COMPASSVALE RD,15,1998,SENGKANG,87,0,87,0,0,0,0
1.35916575005657,103.891524293017,530247,247 HOUGANG AVE 3,247,HOUGANG AVE 3,13,1983,HOUGANG,133,111,22,0,0,0,0
1.34202424550408,103.739009746539,600247,247 JURONG EAST ST 24,247,JURONG EAST ST 24,13,1982,JURONG EAST,190,163,24,1,1,0,0
1.33106275926124,103.855267005685,310247,247 KIM KEAT LINK,247,KIM KEAT LINK,9,1988,TOA PAYOH,96,0,56,40,0,0,0
1.37073379068476,103.96245801481,510247,247 PASIR RIS ST 21,247,PASIR RIS ST 21,13,1992,PASIR RIS,44,0,0,0,44,0,0
1.34427596104719,103.953170238617,520247,247 SIMEI ST 5,247,SIMEI ST 5,11,1995,TAMPINES,66,0,33,33,0,0,0
1.35228092171658,103.946911552645,521247,247 TAMPINES ST 21,247,TAMPINES ST 21,11,1983,TAMPINES,120,0,120,0,0,0,0
1.43499780616096,103.842069242281,760247,247 YISHUN AVE 9,247,YISHUN AVE 9,12,1984,YISHUN,110,0,110,0,0,0,0
1.38137164749459,103.774298960743,670248,248 BANGKIT RD,248,BANGKIT RD,13,1987,BUKIT PANJANG,128,0,66,42,20,0,0
1.36139715643871,103.843281258825,570248,248 BISHAN ST 22,248,BISHAN ST 22,25,1990,BISHAN,72,0,72,0,0,0,0
1.35025884075015,103.756604724025,650248,248 BT BATOK EAST AVE 5,248,BT BATOK EAST AVE 5,12,1984,BUKIT BATOK,110,66,44,0,0,0,0
